human_dim,human_label,evaluator,family,score_label,n_songs,spearman_rho,ci95_low,ci95_high,p_spearman,note
aesthetic_quality,Aesthetic Quality,Audiobox-Aesthetics,custom_aesthetics,CE: Content Enjoyment,571,0.1568661235567277,0.07578825799900585,0.23588334229405464,0.00016753760043173774,
aesthetic_quality,Aesthetic Quality,SongEval,custom_aesthetics,Musicality: Overall Musicality,571,0.13894876287431154,0.05755155439908149,0.21851084013558078,0.0008711095865021669,
aesthetic_quality,Aesthetic Quality,Our Music-Aesthetics,our_aesthetics,Overall_Aesthetics: Overall Aesthetics Score,571,0.08804061958481744,0.006030820361320167,0.16887403467541776,0.03544310242964557,
aesthetic_quality,Aesthetic Quality,Our Music-Popularity,our_popularity,log1p play count,571,0.007557852529341892,-0.07454174037102333,0.08955568086681727,0.8569906240548265,"preference proxy, not an aesthetic-rating head"
aesthetic_quality,Aesthetic Quality,Our Music-Popularity,our_popularity,log1p upvote count,571,0.0077701173903015775,-0.07433063921645261,0.08976625167990354,0.8530191564724754,"preference proxy, not an aesthetic-rating head"
playlist_likelihood,Playlist Likelihood,Audiobox-Aesthetics,custom_aesthetics,CU: Content Usefulness,571,0.006777367758015176,-0.07531788300218976,0.08878136197016567,0.871623787025686,
playlist_likelihood,Playlist Likelihood,SongEval,custom_aesthetics,Memorability: Memorability,571,0.11335026455225272,0.03159071651857788,0.19360297372318896,0.006700355588139208,
playlist_likelihood,Playlist Likelihood,Our Music-Aesthetics,our_aesthetics,Memorability: Memorability,571,0.07520605453799536,-0.006889828015868848,0.15629493859647395,0.07254226125141937,
playlist_likelihood,Playlist Likelihood,Our Music-Popularity,our_popularity,log1p play count,571,0.029910888439656814,-0.05227076517420454,0.11169013460798102,0.47564022686267404,"preference proxy, not an aesthetic-rating head"
playlist_likelihood,Playlist Likelihood,Our Music-Popularity,our_popularity,log1p upvote count,571,0.030496112202376212,-0.051686589644168966,0.11226854768932766,0.46704503247610274,"preference proxy, not an aesthetic-rating head"
musical_creativity,Musical Creativity,Audiobox-Aesthetics,custom_aesthetics,PC: Production Complexity,571,0.13237216555780895,0.05087134276037561,0.21212155598136515,0.0015236420967215515,
musical_creativity,Musical Creativity,SongEval,custom_aesthetics,Clarity: Clarity of Song Structure,571,0.03135209198277592,-0.050832041761620615,0.11311446601083648,0.4546294513385529,
musical_creativity,Musical Creativity,Our Music-Aesthetics,our_aesthetics,Clarity: Clarity of Song Structure,571,0.029080930127364103,-0.053099140461084604,0.11086974010706437,0.4879767793928714,
musical_creativity,Musical Creativity,Our Music-Popularity,our_popularity,log1p play count,571,0.04385317674141457,-0.038338141468099884,0.1254551175419876,0.2955124501239955,"preference proxy, not an aesthetic-rating head"
musical_creativity,Musical Creativity,Our Music-Popularity,our_popularity,log1p upvote count,571,0.04268181568119497,-0.03950992148399565,0.12429986041579937,0.3086129028546503,"preference proxy, not an aesthetic-rating head"
production_quality,Production Quality,Audiobox-Aesthetics,custom_aesthetics,PQ: Production Quality,571,0.09112850805707852,0.009143511713341008,0.1718965348110133,0.029455868531304965,
production_quality,Production Quality,SongEval,custom_aesthetics,Coherence: Overall Coherence,571,0.10351337447031222,0.02164384301990784,0.1840038813213288,0.013333112957510837,
production_quality,Production Quality,Our Music-Aesthetics,our_aesthetics,Coherence: Overall Coherence,571,0.07292658719728733,-0.009181721091842615,0.15405808936289841,0.08166163399863821,
production_quality,Production Quality,Our Music-Popularity,our_popularity,log1p play count,571,0.03201946023221902,-0.05016570639930034,0.11377390757967482,0.44507967278772426,"preference proxy, not an aesthetic-rating head"
production_quality,Production Quality,Our Music-Popularity,our_popularity,log1p upvote count,571,0.031856850629663674,-0.050328071072686706,0.1136132360136216,0.4473959833354672,"preference proxy, not an aesthetic-rating head"
emotional_engagement,Emotional Engagement,SongEval,custom_aesthetics,Naturalness: Naturalness of Vocal Breathing/Phrasing,571,0.12220553530172995,0.04055886825866259,0.20223105462085286,0.003447380747543581,
emotional_engagement,Emotional Engagement,Our Music-Aesthetics,our_aesthetics,Naturalness: Naturalness of Vocal Breathing/Phrasing,571,0.09915082115874639,0.017237695115842708,0.17974186872050674,0.017791966551143117,
emotional_engagement,Emotional Engagement,Our Music-Popularity,our_popularity,log1p play count,571,0.03330013616260932,-0.04888680762250255,0.11503917052919481,0.42707696949204355,"preference proxy, not an aesthetic-rating head"
emotional_engagement,Emotional Engagement,Our Music-Popularity,our_popularity,log1p upvote count,571,0.0342022911180452,-0.047985742745419994,0.11593030882499886,0.414653316650125,"preference proxy, not an aesthetic-rating head"
aesthetic_quality,Aesthetic Quality,Gemini 3.1 Flash Lite,llm_non_thinking,non-thinking,571,0.11268909247715654,0.03092164401117451,0.19295826618013212,0.0070290703160045195,LLM aesthetic_quality rating compared to human aesthetic_quality song mean
aesthetic_quality,Aesthetic Quality,Gemini 3.1 Flash Lite,llm_thinking,thinking,569,0.11121979574893695,0.029290008781193214,0.19166514992332453,0.007921097643805738,LLM aesthetic_quality rating compared to human aesthetic_quality song mean
aesthetic_quality,Aesthetic Quality,Gemini 3.1 Pro,llm_non_thinking,non-thinking,567,0.14066367518034453,0.059004592810950704,0.22045276792726043,0.0007828961936148741,LLM aesthetic_quality rating compared to human aesthetic_quality song mean
aesthetic_quality,Aesthetic Quality,Gemini 3.1 Pro,llm_thinking,thinking,564,0.12473554969868576,0.04261300959619721,0.20518387978145905,0.0030039859033326086,LLM aesthetic_quality rating compared to human aesthetic_quality song mean
aesthetic_quality,Aesthetic Quality,Gemma 4 E2B IT,llm_non_thinking,non-thinking,571,0.009632478629677041,-0.07247817251806032,0.09161343549615154,0.8183444363841921,LLM aesthetic_quality rating compared to human aesthetic_quality song mean
aesthetic_quality,Aesthetic Quality,Gemma 4 E2B IT,llm_thinking,thinking,571,0.07279723447730266,-0.009311753073226143,0.153931130148838,0.08220576101362832,LLM aesthetic_quality rating compared to human aesthetic_quality song mean
aesthetic_quality,Aesthetic Quality,Gemma 4 E4B IT,llm_non_thinking,non-thinking,571,0.011953492690972092,-0.07016869651826625,0.09391474487181357,0.775628658517092,LLM aesthetic_quality rating compared to human aesthetic_quality song mean
aesthetic_quality,Aesthetic Quality,Gemma 4 E4B IT,llm_thinking,thinking,554,0.05441062075102442,-0.02902470755195344,0.13709300228270466,0.20099261425392217,LLM aesthetic_quality rating compared to human aesthetic_quality song mean
aesthetic_quality,Aesthetic Quality,MOSS Audio 4B,llm_non_thinking,non-thinking,558,0.005713810221029876,-0.07732728365770346,0.08867617339085686,0.8928726424923151,LLM aesthetic_quality rating compared to human aesthetic_quality song mean
aesthetic_quality,Aesthetic Quality,MOSS Audio 4B,llm_thinking,thinking,562,0.08117276794680975,-0.0015458835698730986,0.16278813681458926,0.054452986224048004,LLM aesthetic_quality rating compared to human aesthetic_quality song mean
aesthetic_quality,Aesthetic Quality,MOSS Audio 8B,llm_non_thinking,non-thinking,565,-0.011297933846347202,-0.09369884293237538,0.07125670499867251,0.788728080967742,LLM aesthetic_quality rating compared to human aesthetic_quality song mean
aesthetic_quality,Aesthetic Quality,MOSS Audio 8B,llm_thinking,thinking,568,0.01140515573512219,-0.07093133599480321,0.09358727941113903,0.7862170172291898,LLM aesthetic_quality rating compared to human aesthetic_quality song mean
playlist_likelihood,Playlist Likelihood,Gemini 3.1 Flash Lite,llm_non_thinking,non-thinking,571,0.07935443010456114,-0.0027166246944533676,0.16036362081075176,0.05808495392940233,LLM playlist_likelihood rating compared to human playlist_likelihood song mean
playlist_likelihood,Playlist Likelihood,Gemini 3.1 Flash Lite,llm_thinking,thinking,569,0.09747023019769226,0.015396024197617127,0.1782397623404159,0.02004768624487227,LLM playlist_likelihood rating compared to human playlist_likelihood song mean
playlist_likelihood,Playlist Likelihood,Gemini 3.1 Pro,llm_non_thinking,non-thinking,567,0.09947712158900367,0.017276124746852268,0.18034241055960148,0.017818047028549486,LLM playlist_likelihood rating compared to human playlist_likelihood song mean
