evaluator,kind,rho_CE,mae_CE,mean_CE,rho_CU,mae_CU,mean_CU,rho_PC,mae_PC,mean_PC,rho_PQ,mae_PQ,mean_PQ
Audiobox-Aesthetics,audiobox,0.157,2.414,7.209,0.007,3.876,7.591,0.132,2.166,6.345,0.091,2.78,7.898
Humans,human,1.0,0.0,5.16,1.0,0.0,3.821,1.0,0.0,4.773,1.0,0.0,5.349
Gemini 3.1 Flash Lite (non-thinking),model,0.113,2.234,3.772,0.083,2.012,3.772,-0.011,2.064,3.772,0.067,2.352,3.772
Gemini 3.1 Flash Lite (thinking),model,0.111,2.14,4.334,0.1,2.139,4.334,-0.015,2.106,4.334,0.044,2.28,4.334
Gemini 3.1 Pro (non-thinking),model,0.141,1.924,4.78,0.099,2.21,4.78,0.029,1.906,4.78,0.098,1.971,4.78
Gemini 3.1 Pro (thinking),model,0.125,1.952,4.7,0.082,2.191,4.7,0.038,1.917,4.7,0.089,2.013,4.7
Gemma 4 E2B IT (non-thinking),model,0.01,1.978,6.335,-0.028,2.89,6.335,-0.037,2.155,6.335,-0.019,1.981,6.335
Gemma 4 E2B IT (thinking),model,0.073,2.657,7.426,0.034,3.778,7.426,-0.004,2.964,7.426,0.041,2.539,7.426
Gemma 4 E4B IT (non-thinking),model,0.012,2.247,6.737,0.055,3.186,6.737,0.072,2.412,6.737,-0.022,2.223,6.737
Gemma 4 E4B IT (thinking),model,0.054,2.501,7.188,0.037,3.565,7.188,0.076,2.735,7.188,0.064,2.381,7.188
MOSS Audio 4B (non-thinking),model,0.006,2.706,7.244,0.075,3.699,7.244,0.095,2.876,7.244,0.041,2.585,7.244
MOSS Audio 4B (thinking),model,0.081,2.93,7.829,-0.002,4.154,7.829,0.004,3.292,7.829,0.077,2.776,7.829
MOSS Audio 8B (non-thinking),model,-0.011,2.745,7.372,0.003,3.83,7.372,-0.018,2.99,7.372,-0.077,2.684,7.372
MOSS Audio 8B (thinking),model,0.011,2.967,7.896,0.043,4.183,7.896,0.007,3.32,7.896,0.004,2.852,7.896
