regime,val_auc,ood_auc,ood_tpr_at_1pct_fpr,gap_val_minus_ood,verdict
none,0.842,0.975,0.678,-0.133,preserves signal
specaug,0.837,0.98,0.831,-0.143,preserves signal
mixup,0.827,0.97,0.542,-0.143,preserves signal
codec,0.842,0.975,0.678,-0.133,preserves signal
noise,0.845,0.972,0.678,-0.127,preserves signal
pitch_shift,0.839,0.98,0.831,-0.141,preserves signal
loudness,0.812,0.948,0.008,-0.136,destroys signal
reverb,0.832,0.969,0.695,-0.137,destroys signal
combined_safe,0.829,0.961,0.585,-0.131,destroys signal
combined_aggressive,0.827,0.954,0.703,-0.127,destroys signal
