model,base_model,thinking_alias,mood_tag,n_model,n_human,count_model,count_human,prevalence_model,prevalence_human,diff_model_minus_human,diff_ci_low,diff_ci_high,p_fisher,q_fdr_global
MOSS Audio 4B (non-thinking),MOSS Audio 4B,non-thinking,Wonder,571,591,321,37,0.5621716287215411,0.06260575296108291,0.49956587576045824,0.4544280096848886,0.5447037418360279,2.4663941238516848e-83,3.8052937910854567e-82
MOSS Audio 4B (non-thinking),MOSS Audio 4B,non-thinking,Transcendence,571,591,302,35,0.5288966725043783,0.05922165820642978,0.46967501429794856,0.42452529696643204,0.5148247316294651,2.6638663265853883e-76,3.196639591902466e-75
MOSS Audio 4B (non-thinking),MOSS Audio 4B,non-thinking,Tenderness,571,591,201,37,0.3520140105078809,0.06260575296108291,0.289408257546798,0.2456350541351531,0.33318146095844287,1.4769162345047798e-36,1.0633796888434414e-35
MOSS Audio 4B (non-thinking),MOSS Audio 4B,non-thinking,Nostalgia,571,591,149,84,0.2609457092819615,0.14213197969543148,0.11881372958653,0.0730966176488243,0.1645308415242357,5.40330170044502e-07,1.080660340089004e-06
MOSS Audio 4B (non-thinking),MOSS Audio 4B,non-thinking,Peacefulness,571,591,108,68,0.18914185639229422,0.11505922165820642,0.0740826347340878,0.03292826566636031,0.11523700380181529,0.0005598536600946872,0.0007852492894834574
MOSS Audio 4B (non-thinking),MOSS Audio 4B,non-thinking,Power,571,591,49,108,0.08581436077057793,0.18274111675126903,-0.0969267559806911,-0.1356382621560992,-0.05821524980528299,1.2735375673485945e-06,2.456108165600861e-06
MOSS Audio 4B (non-thinking),MOSS Audio 4B,non-thinking,Joyful activation,571,591,135,86,0.23642732049036777,0.1455160744500846,0.09091124604028317,0.04593555528344183,0.1358869367971245,9.580673092270467e-05,0.000143710096384057
MOSS Audio 4B (non-thinking),MOSS Audio 4B,non-thinking,Tension,571,591,41,56,0.07180385288966724,0.09475465313028765,-0.022950800240620406,-0.054667637168140715,0.008766036686899903,0.16872519273780612,0.19806870451829414
MOSS Audio 4B (non-thinking),MOSS Audio 4B,non-thinking,Sadness,571,591,27,32,0.047285464098073555,0.05414551607445008,-0.006860051976376527,-0.03207878812427556,0.018358684171522505,0.6887945835075733,0.7084744287506468
MOSS Audio 4B (thinking),MOSS Audio 4B,thinking,Wonder,571,591,489,37,0.8563922942206655,0.06260575296108291,0.7937865412595826,0.7590174215712385,0.8285556609479267,5.363663405601004e-187,5.7927564780490854e-185
MOSS Audio 4B (thinking),MOSS Audio 4B,thinking,Transcendence,571,591,377,35,0.660245183887916,0.05922165820642978,0.6010235256814862,0.5577643795122429,0.6442826718507295,4.770538361967185e-113,1.7173938103081867e-111
MOSS Audio 4B (thinking),MOSS Audio 4B,thinking,Tenderness,571,591,328,37,0.574430823117338,0.06260575296108291,0.511825070156255,0.46681218021509924,0.5568379600974107,1.4082939198868932e-86,2.534929055796408e-85
MOSS Audio 4B (thinking),MOSS Audio 4B,thinking,Nostalgia,571,591,103,84,0.18038528896672504,0.14213197969543148,0.038253309271293556,-0.004022650691411077,0.0805292692339982,0.07937724557381204,0.0942059617799088
MOSS Audio 4B (thinking),MOSS Audio 4B,thinking,Peacefulness,571,591,217,68,0.38003502626970226,0.11505922165820642,0.26497580461149584,0.21757339804214126,0.3123782111808504,1.8260382326478827e-26,7.888485165038853e-26
MOSS Audio 4B (thinking),MOSS Audio 4B,thinking,Power,571,591,2,108,0.0035026269702276708,0.18274111675126903,-0.17923848978104134,-0.21077041124573487,-0.14770656831634782,3.1477647110652453e-31,1.6188504228335547e-30
MOSS Audio 4B (thinking),MOSS Audio 4B,thinking,Joyful activation,571,591,40,86,0.07005253940455342,0.1455160744500846,-0.07546353504553119,-0.1107696992420702,-0.04015737084899219,4.2777239885086296e-05,6.599917010841886e-05
MOSS Audio 4B (thinking),MOSS Audio 4B,thinking,Tension,571,591,1,56,0.0017513134851138354,0.09475465313028765,-0.09300333964517382,-0.11686380492685047,-0.06914287436349717,3.197664984440879e-16,1.0792119322487966e-15
MOSS Audio 4B (thinking),MOSS Audio 4B,thinking,Sadness,571,591,5,32,0.008756567425569177,0.05414551607445008,-0.045388948648880906,-0.0651701314262258,-0.025607765871536008,6.033594758404291e-06,1.0682430064060058e-05
MOSS Audio 8B (non-thinking),MOSS Audio 8B,non-thinking,Wonder,571,591,243,37,0.425569176882662,0.06260575296108291,0.3629634239215791,0.31795053398042333,0.40797631386273486,3.5174714860408005e-51,3.453517459021877e-50
MOSS Audio 8B (non-thinking),MOSS Audio 8B,non-thinking,Transcendence,571,591,200,35,0.3502626970227671,0.05922165820642978,0.2910410388163373,0.24752933850218198,0.33455273913049266,1.9559543350523216e-37,1.508879058468934e-36
MOSS Audio 8B (non-thinking),MOSS Audio 8B,non-thinking,Tenderness,571,591,356,37,0.6234676007005254,0.06260575296108291,0.5608618477394425,0.5165801221705473,0.6051435733083377,3.2723324838402716e-100,7.0682381650949875e-99
MOSS Audio 8B (non-thinking),MOSS Audio 8B,non-thinking,Nostalgia,571,591,209,84,0.3660245183887916,0.14213197969543148,0.2238925386933601,0.17537687909723748,0.2724081982894827,1.0330194711122947e-18,4.132077884449179e-18
MOSS Audio 8B (non-thinking),MOSS Audio 8B,non-thinking,Peacefulness,571,591,117,68,0.20490367775831875,0.11505922165820642,0.08984445610011232,0.04791666834050093,0.13177224385972372,2.8878549452354197e-05,4.725580819476141e-05
MOSS Audio 8B (non-thinking),MOSS Audio 8B,non-thinking,Power,571,591,30,108,0.05253940455341506,0.18274111675126903,-0.13020171219785398,-0.16633597601211447,-0.09406744838359349,3.2974434095200468e-12,8.68594849336988e-12
MOSS Audio 8B (non-thinking),MOSS Audio 8B,non-thinking,Joyful activation,571,591,40,86,0.07005253940455342,0.1455160744500846,-0.07546353504553119,-0.1107696992420702,-0.04015737084899219,4.2777239885086296e-05,6.599917010841886e-05
MOSS Audio 8B (non-thinking),MOSS Audio 8B,non-thinking,Tension,571,591,18,56,0.03152364273204904,0.09475465313028765,-0.06323101039823861,-0.09085274733325772,-0.0356092734632195,1.0463921948271095e-05,1.7938151911321877e-05
MOSS Audio 8B (non-thinking),MOSS Audio 8B,non-thinking,Sadness,571,591,5,32,0.008756567425569177,0.05414551607445008,-0.045388948648880906,-0.0651701314262258,-0.025607765871536008,6.033594758404291e-06,1.0682430064060058e-05
