contrast,group_a,group_b,mood_tag,n_a,n_b,count_a,count_b,prevalence_a,prevalence_b,diff,diff_ci_low,diff_ci_high,p_fisher,q_fdr
Ground truth: AI songs - real songs,AI songs,real songs,Wonder,507,84,30,7,0.05917159763313609,0.08333333333333333,-0.024161735700197237,-0.08673440728004783,0.03841093587965336,0.46261004159457075,0.6939150623918562
Ground truth: AI songs - real songs,AI songs,real songs,Transcendence,507,84,29,6,0.05719921104536489,0.07142857142857142,-0.014229360383206532,-0.07289747945929463,0.044438758692881566,0.6168397509336956,0.6939447198004076
Ground truth: AI songs - real songs,AI songs,real songs,Tenderness,507,84,29,8,0.05719921104536489,0.09523809523809523,-0.03803888419273034,-0.10398852864464121,0.02791076025918053,0.21939529097041346,0.6581858729112404
Ground truth: AI songs - real songs,AI songs,real songs,Nostalgia,507,84,74,10,0.14595660749506903,0.11904761904761904,0.02690898844744999,-0.048859139205105664,0.10267711610000564,0.6140728091001446,0.6939447198004076
Ground truth: AI songs - real songs,AI songs,real songs,Peacefulness,507,84,60,8,0.11834319526627218,0.09523809523809523,0.02310510002817695,-0.04567951272906037,0.09188971278541427,0.7116256091230653,0.7116256091230653
Ground truth: AI songs - real songs,AI songs,real songs,Power,507,84,90,18,0.17751479289940827,0.21428571428571427,-0.036770921386306,-0.13061272712289174,0.05707088435027974,0.44602439765946056,0.6939150623918562
Ground truth: AI songs - real songs,AI songs,real songs,Joyful activation,507,84,69,17,0.13609467455621302,0.20238095238095238,-0.06628627782473936,-0.15724380375580302,0.02467124810632429,0.1313533429418906,0.5910900432385078
Ground truth: AI songs - real songs,AI songs,real songs,Tension,507,84,44,12,0.08678500986193294,0.14285714285714285,-0.05607213299520991,-0.13481546499540392,0.022671199004984086,0.10927982824518886,0.5910900432385078
Ground truth: AI songs - real songs,AI songs,real songs,Sadness,507,84,30,2,0.05917159763313609,0.023809523809523808,0.03536207382361228,-0.003170816972229748,0.07389496461945431,0.29427754544189777,0.66212447724427
Perceived: judged AI - judged real,judged AI,judged real,Wonder,289,225,19,15,0.0657439446366782,0.06666666666666667,-0.0009227220299884709,-0.04426819931223142,0.04242275525225448,1.0,1.0
Perceived: judged AI - judged real,judged AI,judged real,Transcendence,289,225,16,15,0.05536332179930796,0.06666666666666667,-0.011303344867358706,-0.0532265455784691,0.030619855843751688,0.7093729018330186,0.9120508737853096
Perceived: judged AI - judged real,judged AI,judged real,Tenderness,289,225,16,18,0.05536332179930796,0.08,-0.02463667820069204,-0.06881604450722435,0.01954268810584027,0.2867463214032473,0.8199467882570584
Perceived: judged AI - judged real,judged AI,judged real,Nostalgia,289,225,38,37,0.1314878892733564,0.16444444444444445,-0.03295655517108806,-0.09511758611646597,0.029204475774289848,0.31511194906657025,0.8199467882570584
Perceived: judged AI - judged real,judged AI,judged real,Peacefulness,289,225,29,31,0.10034602076124567,0.13777777777777778,-0.037431757016532105,-0.09424992808613686,0.019386414053072648,0.2134890250527604,0.8199467882570584
Perceived: judged AI - judged real,judged AI,judged real,Power,289,225,53,42,0.18339100346020762,0.18666666666666668,-0.0032756632064590563,-0.07097264953268233,0.06442132311976421,1.0,1.0
Perceived: judged AI - judged real,judged AI,judged real,Joyful activation,289,225,40,35,0.1384083044982699,0.15555555555555556,-0.01714725105728565,-0.07901772396891762,0.044723221854346316,0.6156209587698683,0.9120508737853096
Perceived: judged AI - judged real,judged AI,judged real,Tension,289,225,24,24,0.08304498269896193,0.10666666666666667,-0.02362168396770474,-0.0749944706885236,0.027751102753114133,0.3644207947809148,0.8199467882570584
Perceived: judged AI - judged real,judged AI,judged real,Sadness,289,225,17,10,0.058823529411764705,0.044444444444444446,0.014379084967320259,-0.023844448006524327,0.052602617941164845,0.5523500970241986,0.9120508737853096
