frontend,popularity_target,axis,n_songs,spearman_rho,pearson_r,p_spearman,p_pearson
Audiobox-Aesthetics,log1p_play_count,CE,571,-0.18748727969068937,-0.1767120583606933,6.471732317934305e-06,2.1679235226418842e-05
Audiobox-Aesthetics,log1p_play_count,CU,571,-0.08509795480147622,-0.04602279350226349,0.04208288586109659,0.2722418475432206
Audiobox-Aesthetics,log1p_play_count,PC,571,0.13728571586492672,0.10641006496602638,0.001005719420498671,0.010946922880213233
Audiobox-Aesthetics,log1p_play_count,PQ,571,-0.2649684381630788,-0.19379120327210392,1.250766100448038e-10,3.0876046498761647e-06
Audiobox-Aesthetics,log1p_upvote_count,CE,571,-0.18418968021253232,-0.17041433440494722,9.4393491988374e-06,4.254454114271611e-05
Audiobox-Aesthetics,log1p_upvote_count,CU,571,-0.08079740135236603,-0.03983934383020267,0.053652973670643166,0.3419718093559471
Audiobox-Aesthetics,log1p_upvote_count,PC,571,0.13592523225450298,0.12615630685087975,0.0011298513252828968,0.002527331263831491
Audiobox-Aesthetics,log1p_upvote_count,PQ,571,-0.2606719017212087,-0.17686728105389377,2.53339915085974e-10,2.1315568709733012e-05
SongEval,log1p_play_count,Musicality,571,0.08844290078435936,0.018813448977179934,0.03460868709683025,0.6537106124464146
SongEval,log1p_play_count,Coherence,571,0.15871248966442006,0.08027904473216457,0.00013987706695969883,0.055211513082585
SongEval,log1p_play_count,Memorability,571,0.16062354893787684,0.08627350294792664,0.00011580377127942092,0.039314123694327484
SongEval,log1p_play_count,Clarity,571,0.10978172438248664,0.030724688567958562,0.008652382455695301,0.4637114053859889
SongEval,log1p_play_count,Naturalness,571,0.16089651033122246,0.08503141243841444,0.00011270187688434216,0.04224441483139073
SongEval,log1p_upvote_count,Musicality,571,0.09321910882555888,0.0503607429628133,0.025914009763119975,0.22954725846452928
SongEval,log1p_upvote_count,Coherence,571,0.16312341185460133,0.10993903614914546,9.016166231144762e-05,0.008556657498749383
SongEval,log1p_upvote_count,Memorability,571,0.1644623447570299,0.11311416631029789,7.8730796898139e-05,0.006816120005310541
SongEval,log1p_upvote_count,Clarity,571,0.1143025819260075,0.06637047447101756,0.006251101263314649,0.11314036860234918
SongEval,log1p_upvote_count,Naturalness,571,0.16495871665884848,0.11642008474213697,7.485156472803969e-05,0.005347672406471641
Our Music-Aesthetics,log1p_play_count,Musicality,571,0.20461891793489487,0.16286296613866522,8.179073706207029e-07,9.255955757259461e-05
Our Music-Aesthetics,log1p_play_count,Coherence,571,0.21074259826629654,0.17450847008446224,3.7354086043846766e-07,2.7521195432635623e-05
Our Music-Aesthetics,log1p_play_count,Memorability,571,0.239590459426428,0.20947681949371033,6.740748785800208e-09,4.4008210115078945e-07
Our Music-Aesthetics,log1p_play_count,Clarity,571,0.22486805764304296,0.19405235393932285,5.594685526231545e-08,2.9928054023506728e-06
Our Music-Aesthetics,log1p_play_count,Naturalness,571,0.20895106636362368,0.17004616581687407,4.7095165684034053e-07,4.422246869485117e-05
Our Music-Aesthetics,log1p_upvote_count,Musicality,571,0.20910551020871956,0.18677927408940664,4.6167376664040543e-07,7.0219475288469145e-06
Our Music-Aesthetics,log1p_upvote_count,Coherence,571,0.21516795497042066,0.19628227731108025,2.089119875722133e-07,2.2892377783989276e-06
Our Music-Aesthetics,log1p_upvote_count,Memorability,571,0.24381431994796104,0.22947543625788847,3.5775317985809223e-09,2.9293117906085574e-08
Our Music-Aesthetics,log1p_upvote_count,Clarity,571,0.2292775250591127,0.21538751143453685,3.012725694169638e-08,2.0290909848386343e-07
Our Music-Aesthetics,log1p_upvote_count,Naturalness,571,0.21338515726250087,0.19391071021898554,2.644138913392362e-07,3.043871763287539e-06
